PING 207.189.30.224 (207.189.30.224) 56(84) bytes of data.
64 bytes from 207.189.30.224: icmp_seq=33 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=34 ttl=38 time=51.5 ms
64 bytes from 207.189.30.224: icmp_seq=35 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=36 ttl=38 time=52.1 ms
64 bytes from 207.189.30.224: icmp_seq=37 ttl=38 time=52.0 ms
64 bytes from 207.189.30.224: icmp_seq=38 ttl=38 time=52.6 ms
64 bytes from 207.189.30.224: icmp_seq=39 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=40 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=41 ttl=38 time=51.5 ms
64 bytes from 207.189.30.224: icmp_seq=42 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=43 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=44 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=45 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=46 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=47 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=48 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=49 ttl=38 time=51.9 ms
64 bytes from 207.189.30.224: icmp_seq=50 ttl=38 time=53.6 ms
64 bytes from 207.189.30.224: icmp_seq=51 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=52 ttl=38 time=51.5 ms
64 bytes from 207.189.30.224: icmp_seq=53 ttl=38 time=52.6 ms
64 bytes from 207.189.30.224: icmp_seq=54 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=55 ttl=38 time=52.0 ms
64 bytes from 207.189.30.224: icmp_seq=56 ttl=38 time=51.7 ms
64 bytes from 207.189.30.224: icmp_seq=57 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=58 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=59 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=60 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=61 ttl=38 time=56.0 ms
64 bytes from 207.189.30.224: icmp_seq=62 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=63 ttl=38 time=53.9 ms
64 bytes from 207.189.30.224: icmp_seq=64 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=65 ttl=38 time=51.4 ms
64 bytes from 207.189.30.224: icmp_seq=66 ttl=38 time=51.3 ms
64 bytes from 207.189.30.224: icmp_seq=67 ttl=38 time=52.0 ms
64 bytes from 207.189.30.224: icmp_seq=68 ttl=38 time=52.8 ms
64 bytes from 207.189.30.224: icmp_seq=69 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=70 ttl=38 time=54.7 ms
64 bytes from 207.189.30.224: icmp_seq=71 ttl=38 time=53.7 ms
64 bytes from 207.189.30.224: icmp_seq=72 ttl=38 time=51.7 ms
64 bytes from 207.189.30.224: icmp_seq=73 ttl=38 time=51.9 ms
64 bytes from 207.189.30.224: icmp_seq=74 ttl=38 time=52.0 ms
64 bytes from 207.189.30.224: icmp_seq=75 ttl=38 time=53.8 ms
64 bytes from 207.189.30.224: icmp_seq=76 ttl=38 time=57.0 ms
64 bytes from 207.189.30.224: icmp_seq=77 ttl=38 time=52.1 ms
64 bytes from 207.189.30.224: icmp_seq=78 ttl=38 time=56.8 ms
64 bytes from 207.189.30.224: icmp_seq=79 ttl=38 time=51.8 ms
64 bytes from 207.189.30.224: icmp_seq=80 ttl=38 time=53.5 ms
64 bytes from 207.189.30.224: icmp_seq=81 ttl=38 time=53.5 ms
64 bytes from 207.189.30.224: icmp_seq=82 ttl=38 time=52.6 ms
64 bytes from 207.189.30.224: icmp_seq=83 ttl=38 time=51.6 ms
64 bytes from 207.189.30.224: icmp_seq=84 ttl=38 time=51.3 ms
